contest_group_id,contest_name,choice,choice_party,sum
2,MONTGOMERY COUNTY BOARD OF EDUCATION DISTRICT 4,Steve DeBerry,,2263
8,WATAUGA COUNTY BOARD OF EDUCATION,Steve Combs,,13773
1,HAYWOOD COUNTY BOARD OF COMMISSIONERS,Steve Brown,DEM,10622
2,ALAMANCE-BURLINGTON BOARD OF EDUCATION,Steve A. Van Pelt,,39799
3,CASWELL COUNTY BOARD OF COMMISSIONERS AT-LARGE,Sterling Carter,DEM,4481
1138,NC HOUSE OF REPRESENTATIVES DISTRICT 063,Stephen Ross,REP,26068
1315,NC DISTRICT COURT JUDGE DISTRICT 20C (HIGDON),Stephen Higdon,,63908
11,LEE COUNTY BOARD OF EDUCATION AT-LARGE,Stephen Coble,REP,11497
7,MACON COUNTY BOARD OF EDUCATION DISTRICT 1,Stephanie Stiles McCall,,11803
2,ALAMANCE-BURLINGTON BOARD OF EDUCATION,Stephanie Braxton (Write-In),,6
4,BURKE COUNTY REGISTER OF DEEDS,Stephanie A. Norman,REP,22346
2,CRAVEN COUNTY BOARD OF EDUCATION DISTRICT 1,Stefanie King,,21230
15,MOORE COUNTY BOARD OF EDUCATION DISTRICT I,Stacey Caldwell,,24400
3,STOKES COUNTY BOARD OF EDUCATION,Sonya Moorefield Cox,,10129
860001,TOWN OF ELKIN COMMISSIONER,Skip Whitman,,864
3,FRANKLIN COUNTY BOARD OF COMMISSIONERS DISTRICT 1,Sidney E. Dunston,DEM,2416
1,MONTGOMERY COUNTY BOARD OF EDUCATION DISTRICT 2,Shirley Threadgill,,1349
1055,NC STATE SENATE DISTRICT 30,Shirley Blackburn Randleman,REP,59602
2,BOARD OF EDUCATION DISTRICT 6,Sheryl Lewis,,3354
11,LEE COUNTY BOARD OF EDUCATION AT-LARGE,Sherry Lynn Womack,REP,10799
6,WILSON COUNTY BOARD OF COMMISSIONERS DISTRICT 2 (UNEXPIRED),Sherry L. Lucas,DEM,3799
3,MITCHELL COUNTY BOARD OF EDUCATION,Sherry Bell,,2446
1289,NC DISTRICT COURT JUDGE DISTRICT 15B (LONG),Sherri Murrell,,73064
7,CRAVEN COUNTY REGISTER OF DEEDS,Sherri B. Richard,DEM,29456
2,PENDER COUNTY BOARD OF COMMISSIONERS DISTRICT 5,Sheree Shepard,DEM,9430
1098,NC HOUSE OF REPRESENTATIVES DISTRICT 023,Shelly Willingham,DEM,27208
6,FRANKLIN COUNTY BOARD OF COMMISSIONERS AT-LARGE,Shelley Dickerson,DEM,14895
